time ax ay az button
0.000000 -0.000000 0.000000 0.000000 0.000000
0.002000 -0.000000 0.000000 0.000000 0.000000
0.004000 -0.000000 0.000000 0.000000 0.000000
0.006000 -0.000000 0.000000 -0.068693 0.000000
0.008000 -0.000000 -0.068660 -0.068658 0.000000
0.010000 -0.000000 -0.062489 -0.046683 0.000000
0.012000 -0.000000 -0.050439 -0.046683 0.000000
0.014000 -0.000000 -0.050249 -0.033342 0.000000
0.016000 -0.000000 -0.039859 -0.046911 0.000000
0.018000 -0.000000 -0.042649 -0.079569 0.000000
0.020000 -0.000000 -0.049590 -0.079569 0.000000
0.022000 -0.000000 -0.049396 -0.087626 0.000000
0.024000 -0.000000 -0.053201 -0.074763 0.000000
0.026000 -0.000000 -0.054251 -0.080746 0.000000
0.028000 0.001534 -0.053526 -0.079980 0.000000
0.030000 0.001534 -0.052379 -0.079980 0.000000
0.032000 0.001534 -0.052120 -0.062992 0.000000
0.034000 0.001534 -0.049295 -0.064792 0.000000
0.036000 0.001534 -0.049424 -0.082712 0.000000
0.038000 0.001534 -0.051798 -0.105770 0.000000
0.040000 0.001534 -0.055104 -0.105770 0.000000
0.042000 0.001534 -0.054838 -0.104238 0.000000
0.044000 0.001534 -0.054876 -0.111726 0.000000
0.046000 0.001534 -0.056730 -0.114950 0.000000
0.048000 0.001534 -0.057725 -0.114950 0.000000
0.050000 0.001534 -0.057434 -0.076571 0.000000
0.052000 0.001534 -0.049627 -0.075257 0.000000
0.054000 0.001534 -0.048846 -0.071873 0.000000
0.056000 0.001534 -0.049159 -0.067368 0.000000
0.058000 0.001534 -0.050932 -0.067368 0.000000
0.060000 0.001534 -0.050669 -0.076146 0.000000
0.062000 0.001534 -0.051277 -0.097344 0.000000
0.064000 0.001534 -0.055254 -0.103578 0.000000
0.066000 0.001534 -0.059419 -0.103578 0.000000
0.068000 0.001534 -0.059138 -0.088203 0.000000
0.070000 0.001534 -0.058617 -0.090509 0.000000
0.072000 0.001534 -0.059854 -0.085700 0.000000
0.074000 0.001534 -0.060436 -0.065236 0.000000
0.076000 0.001534 -0.058224 -0.065236 0.000000
0.078000 0.001534 -0.057925 -0.071678 0.000000
0.080000 0.001534 -0.056069 -0.082915 0.000000
0.082000 0.001534 -0.057929 -0.087351 0.000000
0.084000 0.001534 -0.059902 -0.084287 0.000000
0.086000 0.001534 -0.059945 -0.084287 0.000000
0.088000 0.001534 -0.059652 -0.088264 0.000000
0.090000 0.001534 -0.056131 -0.084897 0.000000
0.092000 0.001534 -0.054977 -0.071775 0.000000
0.094000 0.001534 -0.053118 -0.071775 0.000000
0.096000 0.001534 -0.052841 -0.054162 0.000000
0.098000 0.001534 -0.044642 -0.057592 0.000000
0.100000 0.001534 -0.043385 -0.060408 0.000000
0.102000 0.001534 -0.043654 -0.062226 0.000000
0.104000 0.001534 -0.045263 -0.062226 0.000000
0.106000 0.001534 -0.045039 -0.075260 0.000000
0.108000 0.001534 -0.047038 -0.083880 0.000000
0.110000 0.001534 -0.049646 -0.094584 0.000000
0.112000 0.001534 -0.053234 -0.094584 0.000000
0.114000 0.001534 -0.052987 -0.084063 0.000000
0.116000 0.001534 -0.051688 -0.083349 0.000000
0.118000 0.001534 -0.053581 -0.069800 0.000000
0.120000 0.001534 -0.053478 -0.048621 0.000000
0.122000 0.001534 -0.052271 -0.048621 0.000000
0.124000 0.001534 -0.052008 -0.046572 0.000000
0.126000 0.001534 -0.049445 -0.053803 0.000000
0.128000 -0.000000 -0.049474 -0.053203 0.000000
0.130000 -0.000000 -0.049639 -0.072540 0.000000
0.132000 -0.000000 -0.053030 -0.072540 0.000000
0.134000 -0.000000 -0.052784 -0.099390 0.000000
0.136000 -0.000000 -0.056281 -0.103837 0.000000
0.138000 -0.000000 -0.059051 -0.119057 0.000000
0.140000 -0.000000 -0.061827 -0.119057 0.000000
0.142000 -0.000000 -0.061539 -0.123029 0.000000
0.144000 -0.000000 -0.062170 -0.125986 0.000000
0.146000 -0.000000 -0.065556 -0.117508 0.000000
0.148000 -0.000000 -0.067377 -0.095914 0.000000
0.150000 -0.000000 -0.065282 -0.095914 0.000000
0.152000 -0.000000 -0.064957 -0.080851 0.000000
0.154000 -0.000000 -0.058555 -0.074503 0.000000
0.156000 -0.000000 -0.055987 -0.061607 0.000000
0.158000 -0.000000 -0.052784 -0.061607 0.000000
0.160000 -0.000000 -0.052500 -0.055706 0.000000
0.162000 -0.000000 -0.048591 -0.057746 0.000000
0.164000 -0.000000 -0.048556 -0.072527 0.000000
0.166000 -0.000000 -0.051913 -0.109353 0.000000
0.168000 -0.000000 -0.062171 -0.109353 0.000000
0.170000 -0.000000 -0.061910 -0.117147 0.000000
0.172000 -0.000000 -0.069127 -0.144876 0.000000
0.174000 -0.000000 -0.077056 -0.131675 0.000000
0.176000 -0.001534 -0.080410 -0.095452 0.000000
0.178000 -0.001534 -0.074580 -0.095452 0.000000
0.180000 -0.001534 -0.074207 -0.073385 0.000000
0.182000 -0.001534 -0.062999 -0.062422 0.000000
0.184000 -0.001534 -0.058488 -0.057276 0.000000
0.186000 -0.001534 -0.058222 -0.057276 0.000000
0.188000 -0.001534 -0.057921 -0.091261 0.000000
0.190000 -0.001534 -0.060448 -0.117506 0.000000
0.192000 -0.001534 -0.066486 -0.134824 0.000000
0.194000 -0.001534 -0.073467 -0.166677 0.000000
0.196000 -0.001534 -0.080857 -0.166677 0.000000
0.198000 -0.001534 -0.080504 -0.134035 0.000000
0.200000 -0.003068 -0.077935 -0.098938 0.000000
0.202000 -0.003068 -0.071468 -0.063440 0.000000
0.204000 -0.003068 -0.061750 -0.063440 0.000000
0.206000 -0.003068 -0.061393 -0.021041 0.000000
0.208000 -0.003068 -0.049917 -0.035886 0.000000
0.210000 -0.003068 -0.050168 -0.048553 0.000000
0.212000 -0.003068 -0.054178 -0.117833 0.000000
0.214000 -0.003068 -0.066675 -0.117833 0.000000
0.216000 -0.003068 -0.066399 -0.138116 0.000000
0.218000 -0.003068 -0.072655 -0.109686 0.000000
0.220000 -0.003068 -0.071426 -0.100462 0.000000
0.222000 -0.003068 -0.068529 -0.100462 0.000000
0.224000 -0.003068 -0.068191 -0.022164 0.000000
0.226000 -0.003068 -0.050269 -0.001980 0.000000
0.228000 -0.003068 -0.041714 -0.000718 0.000000
0.230000 -0.003068 -0.039608 -0.069144 0.000000
0.232000 -0.003068 -0.054866 -0.069144 0.000000
0.234000 -0.003068 -0.054638 -0.113123 0.000000
0.236000 -0.003068 -0.069647 -0.147790 0.000000
0.238000 -0.004602 -0.079358 -0.165695 0.000000
0.240000 -0.004602 -0.082220 -0.112918 0.000000
0.242000 -0.004602 -0.067760 -0.112918 0.000000
0.244000 -0.004602 -0.067402 -0.092370 0.000000
0.246000 -0.004602 -0.052006 -0.051680 0.000000
0.248000 -0.004602 -0.044343 -0.015746 0.000000
0.250000 -0.004602 -0.043485 -0.015746 0.000000
0.252000 -0.004602 -0.043244 -0.031714 0.000000
0.254000 -0.004602 -0.043305 -0.055930 0.000000
0.256000 -0.004602 -0.043913 -0.082998 0.000000
0.258000 -0.006136 -0.047653 -0.116955 0.000000
0.260000 -0.006136 -0.053457 -0.116955 0.000000
0.262000 -0.006136 -0.053234 -0.115209 0.000000
0.264000 -0.006136 -0.052829 -0.098431 0.000000
0.266000 -0.006136 -0.054100 -0.047057 0.000000
0.268000 -0.006136 -0.049442 -0.047057 0.000000
0.270000 -0.006136 -0.049196 -0.040065 0.000000
0.272000 -0.006136 -0.040203 -0.029968 0.000000
0.274000 -0.006136 -0.034017 -0.048265 0.000000
0.276000 -0.006136 -0.033039 -0.086659 0.000000
0.278000 -0.006136 -0.043803 -0.086659 0.000000
0.280000 -0.006136 -0.043632 -0.108686 0.000000
0.282000 -0.007670 -0.054853 -0.124655 0.000000
0.284000 -0.007670 -0.064145 -0.120331 0.000000
0.286000 -0.007670 -0.069978 -0.120331 0.000000
0.288000 -0.007670 -0.069700 -0.099403 0.000000
0.290000 -0.007670 -0.059569 -0.079820 0.000000
0.292000 -0.007670 -0.051998 -0.068996 0.000000
0.294000 -0.007670 -0.048843 -0.068983 0.000000
0.296000 -0.007670 -0.053224 -0.068983 0.000000
0.298000 -0.009204 -0.052968 -0.081210 0.000000
0.300000 -0.009204 -0.057543 -0.073428 0.000000
0.302000 -0.009204 -0.059454 -0.073428 0.000000
0.304000 -0.009204 -0.059189 -0.061217 0.000000
0.306000 -0.009204 -0.053943 -0.075794 0.000000
0.308000 -0.009204 -0.050172 -0.088996 0.000000
0.310000 -0.009204 -0.053182 -0.107385 0.000000
0.312000 -0.009204 -0.060575 -0.114494 0.000000
