time ax ay az button
0.000000 -0.000000 0.000000 0.000000 0.000000
0.002000 -0.000000 0.000000 0.000000 0.000000
0.004000 -0.000000 0.000000 0.000000 0.000000
0.006000 -0.000000 0.000000 -0.066085 0.000000
0.008000 -0.000000 -0.066085 -0.066085 0.000000
0.010000 -0.000000 -0.066003 -0.062343 0.000000
0.012000 -0.000000 -0.062343 -0.049231 0.000000
0.014000 -0.000000 -0.049232 -0.032523 0.000000
0.016000 -0.000000 -0.032524 -0.066040 0.000000
0.018000 -0.000000 -0.066038 -0.066040 0.000000
0.020000 -0.000000 -0.065989 -0.089986 0.000000
0.022000 -0.000000 -0.089986 -0.080817 0.000000
0.024000 -0.000000 -0.080818 -0.072146 0.000000
0.026000 -0.000000 -0.072147 -0.083001 0.000000
0.028000 -0.000000 -0.083000 -0.083001 0.000000
0.030000 0.001534 -0.082883 -0.076511 0.000000
0.032000 0.001534 -0.076512 -0.051541 0.000000
0.034000 0.001534 -0.051542 -0.054539 0.000000
0.036000 0.001534 -0.054539 -0.054539 0.000000
0.038000 0.001534 -0.054455 -0.083922 0.000000
0.040000 0.001534 -0.083922 -0.089205 0.000000
0.042000 0.001534 -0.089205 -0.095819 0.000000
0.044000 0.001534 -0.095819 -0.096419 0.000000
0.046000 0.001534 -0.096420 -0.096419 0.000000
0.048000 0.001534 -0.096237 -0.088405 0.000000
0.050000 0.001534 -0.088405 -0.069797 0.000000
0.052000 0.001534 -0.069799 -0.075825 0.000000
0.054000 0.001534 -0.075825 -0.075825 0.000000
0.056000 0.001534 -0.075668 -0.056869 0.000000
0.058000 0.001534 -0.056870 -0.048439 0.000000
0.060000 0.001534 -0.048440 -0.066989 0.000000
0.062000 0.001534 -0.066988 -0.097784 0.000000
0.064000 0.001534 -0.097783 -0.097784 0.000000
0.066000 0.001534 -0.097629 -0.078254 0.000000
0.068000 0.001534 -0.078255 -0.069913 0.000000
0.070000 0.001534 -0.069914 -0.081621 0.000000
0.072000 0.001534 -0.081621 -0.066813 0.000000
0.074000 0.001534 -0.066814 -0.066813 0.000000
0.076000 0.001534 -0.066705 -0.061003 0.000000
0.078000 0.001534 -0.061004 -0.067404 0.000000
0.080000 0.001534 -0.067404 -0.092333 0.000000
0.082000 0.001534 -0.092332 -0.092333 0.000000
0.084000 0.001534 -0.092220 -0.093244 0.000000
0.086000 0.001534 -0.093244 -0.098805 0.000000
0.088000 0.001534 -0.098805 -0.100290 0.000000
0.090000 0.001534 -0.100290 -0.096937 0.000000
0.092000 0.001534 -0.096937 -0.096937 0.000000
0.094000 0.001534 -0.096797 -0.082670 0.000000
0.096000 0.001534 -0.082671 -0.069205 0.000000
0.098000 0.001534 -0.069206 -0.062929 0.000000
0.100000 0.001534 -0.062930 -0.062929 0.000000
0.102000 0.001534 -0.062837 -0.056663 0.000000
0.104000 0.001534 -0.056664 -0.051076 0.000000
0.106000 0.001534 -0.051077 -0.057696 0.000000
0.108000 0.001534 -0.057696 -0.059435 0.000000
0.110000 0.001534 -0.059435 -0.059435 0.000000
0.112000 0.001534 -0.059374 -0.064630 0.000000
0.114000 0.001534 -0.064630 -0.052201 0.000000
0.116000 0.001534 -0.052202 -0.046821 0.000000
0.118000 0.001534 -0.046821 -0.037498 0.000000
0.120000 0.001534 -0.037499 -0.037498 0.000000
0.122000 0.001534 -0.037471 -0.049432 0.000000
0.124000 0.001534 -0.049431 -0.043377 0.000000
0.126000 0.001534 -0.043377 -0.066480 0.000000
0.128000 0.001534 -0.066479 -0.066480 0.000000
0.130000 0.001534 -0.066433 -0.090511 0.000000
0.132000 0.001534 -0.090511 -0.093311 0.000000
0.134000 0.001534 -0.093311 -0.100024 0.000000
0.136000 -0.000000 -0.100024 -0.094342 0.000000
0.138000 -0.000000 -0.094342 -0.094342 0.000000
0.140000 -0.000000 -0.094211 -0.095432 0.000000
0.142000 -0.000000 -0.095432 -0.083710 0.000000
0.144000 -0.000000 -0.083711 -0.077739 0.000000
0.146000 -0.000000 -0.077740 -0.077739 0.000000
0.148000 -0.000000 -0.077633 -0.070052 0.000000
0.150000 -0.000000 -0.070052 -0.088281 0.000000
0.152000 -0.000000 -0.088281 -0.069057 0.000000
0.154000 -0.000000 -0.069059 -0.092108 0.000000
0.156000 -0.000000 -0.092107 -0.092108 0.000000
0.158000 -0.000000 -0.092010 -0.112903 0.000000
0.160000 -0.000000 -0.112902 -0.090159 0.000000
0.162000 -0.000000 -0.090161 -0.090739 0.000000
0.164000 -0.000000 -0.090739 -0.093731 0.000000
0.166000 -0.000000 -0.093732 -0.093731 0.000000
0.168000 -0.000000 -0.093620 -0.080113 0.000000
0.170000 -0.000000 -0.080114 -0.076217 0.000000
0.172000 -0.000000 -0.076217 -0.057974 0.000000
0.174000 -0.000000 -0.057975 -0.057974 0.000000
0.176000 -0.000000 -0.057937 -0.081059 0.000000
0.178000 -0.000000 -0.081058 -0.076725 0.000000
0.180000 -0.000000 -0.076726 -0.072499 0.000000
0.182000 -0.000000 -0.072500 -0.119134 0.000000
0.184000 -0.001534 -0.119132 -0.119134 0.000000
0.186000 -0.001534 -0.119014 -0.143251 0.000000
0.188000 -0.001534 -0.143251 -0.120981 0.000000
0.190000 -0.001534 -0.120983 -0.111872 0.000000
0.192000 -0.001534 -0.111873 -0.111872 0.000000
0.194000 -0.001534 -0.111700 -0.078741 0.000000
0.196000 -0.001534 -0.078742 -0.056097 0.000000
0.198000 -0.001534 -0.056098 -0.041148 0.000000
0.200000 -0.001534 -0.041149 -0.040604 0.000000
0.202000 -0.001534 -0.040604 -0.040604 0.000000
0.204000 -0.001534 -0.040585 -0.055475 0.000000
0.206000 -0.001534 -0.055475 -0.060854 0.000000
0.208000 -0.001534 -0.060855 -0.095289 0.000000
0.210000 -0.001534 -0.095287 -0.095289 0.000000
0.212000 -0.001534 -0.095194 -0.123416 0.000000
0.214000 -0.001534 -0.123415 -0.080128 0.000000
0.216000 -0.001534 -0.080131 -0.065186 0.000000
0.218000 -0.001534 -0.065187 0.015471 0.000000
0.220000 -0.001534 0.015467 0.015471 0.000000
0.222000 -0.001534 0.015446 0.003739 0.000000
0.224000 -0.001534 0.003739 -0.019117 0.000000
0.226000 -0.001534 -0.019116 -0.049399 0.000000
0.228000 -0.001534 -0.049398 -0.189383 0.000000
0.230000 -0.001534 -0.189375 -0.189383 0.000000
0.232000 -0.001534 -0.189168 -0.179481 0.000000
0.234000 -0.001534 -0.179482 -0.118181 0.000000
0.236000 -0.001534 -0.118186 -0.064664 0.000000
0.238000 -0.001534 -0.064667 -0.064664 0.000000
0.240000 -0.001534 -0.064523 0.002810 0.000000
0.242000 -0.001534 0.002808 0.040302 0.000000
0.244000 -0.001534 0.040300 -0.004278 0.000000
0.246000 -0.001534 -0.004276 -0.148641 0.000000
0.248000 -0.003068 -0.148633 -0.148641 0.000000
0.250000 -0.003068 -0.148490 -0.169342 0.000000
0.252000 -0.003068 -0.169342 -0.156059 0.000000
0.254000 -0.003068 -0.156060 -0.090076 0.000000
0.256000 -0.003068 -0.090081 -0.090076 0.000000
0.258000 -0.003068 -0.089920 -0.041604 0.000000
0.260000 -0.003068 -0.041606 -0.005303 0.000000
0.262000 -0.003068 -0.005305 0.007478 0.000000
0.264000 -0.003068 0.007477 -0.036031 0.000000
0.266000 -0.003068 -0.036028 -0.036031 0.000000
0.268000 -0.003068 -0.036041 -0.077586 0.000000
0.270000 -0.003068 -0.077585 -0.088727 0.000000
0.272000 -0.003068 -0.088727 -0.119896 0.000000
0.274000 -0.003068 -0.119894 -0.106095 0.000000
0.276000 -0.003068 -0.106096 -0.106095 0.000000
0.278000 -0.003068 -0.105980 -0.074656 0.000000
0.280000 -0.003068 -0.074657 -0.080842 0.000000
0.282000 -0.003068 -0.080842 -0.050031 0.000000
0.284000 -0.004602 -0.050032 -0.050031 0.000000
0.286000 -0.004602 -0.049979 -0.035492 0.000000
0.288000 -0.004602 -0.035492 -0.036689 0.000000
0.290000 -0.004602 -0.036689 -0.054030 0.000000
0.292000 -0.004602 -0.054030 -0.103004 0.000000
0.294000 -0.004602 -0.103002 -0.103004 0.000000
0.296000 -0.004602 -0.102908 -0.109889 0.000000
0.298000 -0.004602 -0.109890 -0.087448 0.000000
0.300000 -0.004602 -0.087450 -0.037332 0.000000
0.302000 -0.004602 -0.037335 -0.037332 0.000000
0.304000 -0.004602 -0.037254 -0.037140 0.000000
0.306000 -0.004602 -0.037140 -0.068151 0.000000
0.308000 -0.004602 -0.068149 -0.084247 0.000000
0.310000 -0.004602 -0.084246 -0.064752 0.000000
0.312000 -0.004602 -0.064754 -0.064752 0.000000
0.314000 -0.004602 -0.064686 0.008036 0.000000
